title,summary,link,published,source
Algeria Nears Deals With Exxon and Chevron in Shale Gas Push,"Algeria is close to finalizing a deal with Exxon Mobil Corp. and Chevron Corp. to tap the North African nation’s vast gas reserves, including shale, for the first time, a senior official said.",https://www.bloomberg.com/news/articles/2025-08-15/algeria-nears-deals-with-exxon-and-chevron-in-shale-gas-push,"Fri, 15 Aug 2025 08:07:37 GMT",https://feeds.bloomberg.com/markets/news.rss
US Industrial Output Eases as Factories Grapple With Weak Demand,"US industrial production declined in July, restrained by tepid output among manufacturers pinched by cooler demand and shifting trade policy.",https://www.bloomberg.com/news/articles/2025-08-15/us-industrial-production-declines-on-weak-manufacturing,"Fri, 15 Aug 2025 13:20:40 GMT",https://feeds.bloomberg.com/markets/news.rss
Form 13G New York Life Investments Active ETF Trust For: 15 August,,https://www.investing.com/news/filings/form-13g-new-york-life-investments-active-etf-trust-for-15-august-93CH-4195717,2025-08-15 15:47:42,https://www.investing.com/rss/news.rss
Form 13G New York Life Investments Active ETF Trust For: 15 August,,https://www.investing.com/news/filings/form-13g-new-york-life-investments-active-etf-trust-for-15-august-93CH-4195716,2025-08-15 15:47:31,https://www.investing.com/rss/news.rss
"Earnings call transcript: Credicorp beats Q2 2025 forecasts, stock rises",,https://www.investing.com/news/transcripts/earnings-call-transcript-credicorp-beats-q2-2025-forecasts-stock-rises-93CH-4195715,2025-08-15 15:47:24,https://www.investing.com/rss/news.rss
Form 13G ORION ENERGY SYSTEMS For: 15 August,,https://www.investing.com/news/filings/form-13g-orion-energy-systems-for-15-august-93CH-4195714,2025-08-15 15:45:36,https://www.investing.com/rss/news.rss
Form 13F RESOURCES MANAGEMENT CORP /CT/ /ADV For: 15 August,,https://www.investing.com/news/filings/form-13f-resources-management-corp-ct-adv-for-15-august-93CH-4195713,2025-08-15 15:45:35,https://www.investing.com/rss/news.rss
"Sol Gel Tech earnings beat by $4.84, revenue topped estimates",,https://www.investing.com/news/earnings/sol-gel-tech-earnings-beat-by-484-revenue-topped-estimates-4195712,2025-08-15 15:44:47,https://www.investing.com/rss/news.rss
"MacKenzie Realty Capital CCO Bluth buys $96,858 in shares",,https://www.investing.com/news/insider-trading-news/mackenzie-realty-capital-cco-bluth-buys-96858-in-shares-93CH-4195711,2025-08-15 15:44:38,https://www.investing.com/rss/news.rss
CoreWeave shares sold in blocks by major banks,,https://www.investing.com/news/stock-market-news/coreweave-shares-sold-in-blocks-by-major-banks-93CH-4195710,2025-08-15 15:44:28,https://www.investing.com/rss/news.rss
Form 13G BlackRock ETF Trust II - iShares Total Return Active ETF For: 15 August,,https://www.investing.com/news/filings/form-13g-blackrock-etf-trust-ii--ishares-total-return-active-etf-for-15-august-93CH-4195709,2025-08-15 15:44:12,https://www.investing.com/rss/news.rss
Charles Schwab stock price target raised to $112 by Truist on strong growth,,https://www.investing.com/news/analyst-ratings/charles-schwab-stock-price-target-raised-to-112-by-truist-on-strong-growth-93CH-4195706,2025-08-15 15:42:42,https://www.investing.com/rss/news.rss
Standard Chartered’s stock is slumping as a Republican lawmaker calls for a probe,Standard Chartered shares slumped on Friday after a lawmaker close to the Trump administration requested that the Justice Department probe the bank over alleged sanctions violations.,https://www.marketwatch.com/story/standard-chartereds-stock-is-slumping-as-a-republican-lawmaker-calls-for-a-probe-1284cdc9?mod=mw_rss_topstories,"Fri, 15 Aug 2025 15:47:00 GMT",https://www.marketwatch.com/rss/topstories.rss
‘I’ve been kept in poverty by social-services benefit cliffs’: Do I take a $70K job at 74 and lose my Section 8 housing allowance?,"“After the age of 50, I really only had sporadic contract work and I had to sell my house.”",https://www.marketwatch.com/story/should-i-apply-for-a-70k-a-year-job-at-74-and-risk-losing-my-section-8-housing-allowance-9932217d?mod=mw_rss_topstories,"Fri, 15 Aug 2025 15:37:00 GMT",https://www.marketwatch.com/rss/topstories.rss
Dow hits fresh record high as Warren Buffett gives Wall Street a brief upward nudge Friday,"The Dow on Friday notched its first intraday record high of this year, riding a wave of market optimism and a timely push from the Oracle of Omaha.",https://www.marketwatch.com/story/dow-hits-fresh-record-high-as-warren-buffett-gives-wall-street-a-brief-upward-nudge-friday-17afb789?mod=mw_rss_topstories,"Fri, 15 Aug 2025 15:24:00 GMT",https://www.marketwatch.com/rss/topstories.rss
Americans more worried about inflation and unemployment after new trade deals leave tariffs at highest level in decades,"Fresh worries about inflation soured Americans on the economy in early August, underscoring lingering anxiety about the highest U.S. tariffs in decades and a further rise in unemployment.",https://www.marketwatch.com/story/americans-more-worried-about-inflation-and-unemployment-after-new-trade-deals-leave-tariffs-at-highest-level-in-decades-37cec9ca?mod=mw_rss_topstories,"Fri, 15 Aug 2025 14:27:00 GMT",https://www.marketwatch.com/rss/topstories.rss
Why Applied Materials’ latest earnings have investors so spooked,Analysts wonder if China’s recent “overspending” on chip equipment is coming to a halt — and if the company is losing market share to rivals.,https://www.marketwatch.com/story/why-applied-materials-latest-earnings-have-investors-so-spooked-86c4e284?mod=mw_rss_topstories,"Fri, 15 Aug 2025 13:55:00 GMT",https://www.marketwatch.com/rss/topstories.rss
Car buyers rev up U.S. retail sales in effort to beat tariff price hikes. Economy is still growing.,"Sales at retailers rose solidly in July for the second month in a row, but the increase in spending appeared to be a double-edged sword: Americans are still confident enough in the economy to spend, but they are also paying more because of higher inflation.",https://www.marketwatch.com/story/carbuyers-rev-up-u-s-retail-sales-in-effort-to-beat-tariff-price-hikes-economy-is-still-growing-1de5ff8f?mod=mw_rss_topstories,"Fri, 15 Aug 2025 13:40:00 GMT",https://www.marketwatch.com/rss/topstories.rss
Goldman researchers warn of an unfriendly asymmetry: Why the next big market move may be down.,"After 18 record highs, Goldman researchers say it’s time to prepare for a fall in the stock market.",https://www.marketwatch.com/story/goldman-researchers-warn-of-an-unfriendly-asymmetry-why-the-next-big-market-move-may-be-down-e65ae0fd?mod=mw_rss_topstories,"Fri, 15 Aug 2025 13:31:00 GMT",https://www.marketwatch.com/rss/topstories.rss
"Energy traders have already baked Alaska into the price, says BofA strategist. What could come next.","Strategist notes S&amp;P 500 price-to-book at record high, that Fed rate cuts threaten the dollar, and that energy bear market could get worse.",https://www.marketwatch.com/story/energy-traders-have-already-baked-alaska-into-the-price-says-bofa-strategist-244d9d97?mod=mw_rss_topstories,"Fri, 15 Aug 2025 13:17:00 GMT",https://www.marketwatch.com/rss/topstories.rss
My wife and I are in our 50s and have $11 million. We’re not leaving it to our kids. Is that wrong?,“We have retired from full-time work.”,https://www.marketwatch.com/story/am-i-delusional-my-wife-and-i-are-in-our-50s-and-have-11-million-were-not-leaving-it-to-our-kids-is-that-wrong-198022f2?mod=mw_rss_topstories,"Fri, 15 Aug 2025 12:55:00 GMT",https://www.marketwatch.com/rss/topstories.rss
20 stocks in the S&P 500 that are high achievers this earnings season,These companies have shown the largest increases in sales per share while also improving profit margins,https://www.marketwatch.com/story/20-stocks-in-the-s-p-500-that-are-high-achievers-this-earnings-season-17b99522?mod=mw_rss_topstories,"Fri, 15 Aug 2025 12:52:00 GMT",https://www.marketwatch.com/rss/topstories.rss
